ID#,Activity Name,Pillar,Responsibility,Activity Type,Duration,Descriptions,Outcomes,End State,Predecessor(s),Successor(s),Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
1.5.1,"Organizational Identity Life-
Cycle Management",User,Component,Target Level ZT,14.8,"DoD Components establish a process for life cycle management of users 
both privileged and non-privileged. Utilizing an approved Identity 
Provider (IdP) the process is implemented and followed by the 
maximum number of users. Users falling outside of the standard process 
are approved through risk-based exceptions to be evaluated regularly 
for decommission.",1. Standardized account life cycle process.,"Establishes a comprehensive and efficient process that 
ensures the accurate and secure management of user 
identities throughout their entire life cycle within the 
Components environment.",,"Enterprise Identity Life-Cycle 
Management Pt1",,,
1.5.2,"Enterprise Identity Life-Cycle 
Management Pt 1",User,"Enterprise and 
Component",Target Level ZT,11.7,"Specified policies and supporting process are followed by DoD 
Components. DoD Components implement the Enterprise Identity Life-
Cycle Management process for the maximum number of identities, 
attributes, groups, credentials, and permissions. Exceptions to the policy 
are managed in a risk-based methodical approach.","1. Automated identity life cycle processes.
2. Integrated with Enterprise ICAM process and tools.","Implemention of consistent and well-defined processes 
and controls for managing the maximum number of 
identities in the life cycle.","Organizational Identity Life-
Cycle Management","Enterprise Identity LifeCycle 
Management Pt2",,,
1.5.3,"Enterprise Identity LifeCycle 
Management Pt2",User,,Advanced Level ZT,12.8,"DoD Components further integrate the critical automation functions of 
the Identity Provider (IdP) and Identity, Credential and Access 
Management (ICAM) solutions following the Enterprise Identity Life-
Cycle Management (ILM) process to enable Enterprise automation and 
analytics. ILM primary processes are integrated into the cloud-based 
Enterprise ICAM solution.","1. Integration with Critical IDM/IdP functions.
2. Primary ILM functions are cloud based.",,"Enterprise Identity Life-Cycle 
Management Pt1","Enterprise Identity LifeCycle 
Management Pt3",,,
1.5.4,"Enterprise Identity LifeCycle 
Management Pt3",User,,Advanced Level ZT,9.2,"DoD Components integrate remaining Identity Lifecycle Management 
(ILM) processes with the Enterprise Identity, Credential and Access 
Management (ICAM) solution. Enclave/DDIL environments, while still 
authorized to operate, integrate with the Enterprise ICAM using local 
connectors to the cloud environment.","1. All ILM functions moved to cloud as appropriate.
2. Integration with all IDM/IdP functions.",,"Enterprise Identity LifeCycle 
Management Pt2",,,,
1.6.1,"Implement User & Entity 
Behavior Activity (UEBA) and 
User Activity Monitoring 
(UAM) Tooling",User,Component,Target Level ZT,15.9,"DoD Components procure and implement User & Entity Behavior 
Analytics (UEBA) and User Activity Monitoring (UAM) solutions. Initial 
integration point with Enterprise IdP is completed, enabling future 
usage in decision making.","1. UEBA and UAM functionality is correlated with the Master User 
Record and integrated with Enterprise IdP.","Establish a comprehensive and continuously adaptive 
security solution that leverages behavior analytics, 
detects anomalies, and protects against unauthorized 
access.",,"Establish User Baseline 
Behavior;
User/Device Baselines 
Alternative Flexible MFA PT2","SI-4, IA-10",Enable Defender XDR + Sentinel UEBA; feed risk to CA.,Same in Gov.
1.6.2,User Activity Monitoring Pt1,User,,Advanced Level ZT,13.5,"DoD Components integrate User & Entity Behavior Analytics (UEBA) and 
User Activity Monitoring (UAM) solutions with Identity Providers (IdP) 
for extended visibility as needed. Analytics and data generated by UEBA 
and UAM for critical applications/services are integrated with Just-in-
Time (JIT) and Just-Enough-Access (JEA) solutions for improving decision.","1. UEBA is integrated with IdPs as appropriate.
2. UEBA is integrated with JIT/JEA for critical services.",,User/Device Baselines,User Activity Monitoring Pt2,,,
1.6.3,User Activity Monitoring Pt2,User,,Advanced Level ZT,11.2,"DoD Components continue the analytics usage from User & Entity 
Behavior Analytics (UEBA) and User Activity Monitoring (UAM) solutions 
by using generated data for all monitored applications and services 
when decision making occurs in the Just-in-Time (JIT) and Just-Enough-
Access (JEA) solution.",1. UEBA and UAM is integrated with JIT/JEA for all services.,,User Activity Monitoring Pt1,"Real-Time Access Decisions; 
AIenabled Dynamic Access 
Control; Enrich Attributes for 
Resource Authorization Pt1; AI-
enabled Network Access",,,
1.7.1,Deny User by Default Policy,User,Component,Target Level ZT,22.7,"DoD Components audit user and group usage for permissions and 
revoke permissions when appropriate. This activity includes the 
revocation and/or decommission of excess permissions and access for 
application/service-based identities and groups. Where possible, static 
privileged users are decommissioned or permission are reduced, 
preparing for future rule/dynamic based access. The implemented audit 
and governance functions are automated where possible.","1. Applications updated to deny by default to functions/data 
requiring specific roles/attributes for access.
2. Reduced default permission levels are implemented.
3. Applications/services privileged users have been reviewed and 
audited, and unnecessary access has been removed.
4. Applications' identify functions and data requiring specific 
roles/attributes for access.
5. Audit functions and governance processes are implemented and 
automated when possible to update user authentication and 
authorization.","Users must be authorized and authenticated to access 
data, applications, assets, and services. Audit and access 
validation occurs consistently.",,,AC-6,RBAC least privilege; default deny; Access Reviews.,Same in Gov.
1.8.1,Single Authentication,User,Component,Target Level ZT,19.2,"DoD Components authenticate users and NPEs at least once per session 
(e.g., logon) using CAC and other DoD approved methods. Users being 
authenticated are managed by the parallel activity “Organizational 
MFA/IdP” with the Component Identity Provider (IdP). Components do 
not use application/service-based identities and groups.",1. Authentication implemented at least once per session.,"Component applications apply single authentication to 
the specified standard.",,"Rule Based Dynamic Access Pt1
Resource Authorization Pt1; 
SDC Resource Authorization 
Pt2","IA-10, IA-2",Use CA session controls and reauth; step-up on sensitive ops.,Same in Gov.
1.8.2,Periodic Authentication,User,Component,Target Level ZT,25.4,"DoD Components enable periodic authentication for applications and 
services. Traditionally, these are based on duration and/or duration 
timeout, however, other period-based analytics can be used to enforce 
re-authentication of user sessions.","1. Authentication implemented multiple times per session based on 
security attributes and criticality of the data, user, application, 
system, and source user location.","Authentication occurs per the requirement and 
standard.",Single Authentication,"Continuous Authentication Pt1; 
AI-enabled Network Access","IA-10, IA-2",Use CA session controls and reauth; step-up on sensitive ops.,Same in Gov.
1.8.3,"Continuous Authentication 
Pt 1",User,,Advanced Level ZT,16.8,"DoD Components applications/services utilize multiple session 
authentications based on security attributes and access requested. 
Privilege changes and associational transaction requests require 
additional levels of authentication such as Multi-Factor Authentication 
(MFA) pushes to users.","1. Transaction authentication implemented per session based on 
security attributes.",,Periodic Authentication,Continuous Authentication Pt2,"IA-10, IA-2",Use CA session controls and reauth; step-up on sensitive ops.,Same in Gov.
1.8.4,"Continuous Authentication 
Pt 2",User,,Advanced Level ZT,16.8,"DoD Components continue usage of transaction-based authentication to 
include integration such as user patterns.","1. Transaction authentication implemented per session based on 
security attributes.",,Continuous Authentication Pt1,"Real-Time Access Decisions; 
AIenabled Dynamic Access 
Control","IA-10, IA-2",Use CA session controls and reauth; step-up on sensitive ops.,Same in Gov.
1.9.1,Enterprise PKI/IDP Pt1,User,"Enterprise and 
Component",Target Level ZT,12.4,"The DoD Enterprise works with Components to implement Enterprise 
Public Key Infrastructure (PKI) solutions in a centralized and/or 
federated fashion. The Enterprise PKI solution utilizes a single or set of 
Enterprise level Root Certificate Authorities (CA) that can then be 
trusted by components to build Intermediate CA. Components PKI 
Certificated Authorities are integrated with the Enterprise PKI.
An Enterprise Identity Provider (IdP) platform is implemented. The IdP 
solution may either be a single solution or federated set of Component 
IdPs with standard level of access across Components and standardized 
set of attributes. Components IdPs are integrated with the Enterprise 
IdP.","1. Enterprise PE & NPE CONOPS, taxonomy, and naming standards 
are developed.
2. Components Certificate Authorities (CA) are integrated with the 
DoD PKI Hierarchy.
3. Enterprise level requirements are implemented, including 
mandated user attributes for a validated and verified Enterprise 
Identity Provider (IdP) Platform.
4. Enterprise wide IdP platform is implemented through a single 
solution or integration of multiple solutions.","All PEs and NPEs are issued a validated and verified 
digital identity that can be tracked at the Enterprise 
level using the strongest authentication available.",,Enterprise PKI/IDP Pt2,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
1.9.2,Enterprise PKI/IDP Pt2,User,,Advanced Level ZT,27.2,"DoD Components enable biometric support in the Identity Provider (IdP) 
for mission/task-critical applications and services as appropriate. 
Biometric functionality is moved from Component solutions to the 
Enterprise. Multi-Factor Authentication (MFA) and Public Key 
Infrastructure (PKI) is decommissioned and migrated to the Enterprise 
as appropriate.","1. Critical services integrated with biometrics.
2. Decommission organizational MFA/PKI as appropriate in lieu of 
Enterprise MFA/PKI.
3. Enterprise biometric functions implemented.",,Enterprise PKI/IDP Pt1,Enterprise PKI/IDP Pt3,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
1.9.3,Enterprise PKI/IDP Pt3,User,,Advanced Level ZT,30.0,"DoD Components integrate the remaining applications/services with 
Biometrics functionalities. Alternative Multi-Factor Authentication 
(MFA) tokens can be used.",1. All Components services integrate with biometrics.,,Enterprise PKI/IDP Pt2,,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
2.1.1,"Device Health Tool Gap 
Analysis",Device,Component,Target Level ZT,9.8,"DoD Components develop an inventory of devices within the 
environment, and device attributes are tracked.","1. Inventory of authorized and approved devices is created per 
Component with owners.
2. Determine and implement tools to gauge device health.","A comprehensive inventory of authorized and approved 
devices with designated owners, and effective tools for 
monitoring and assessing device health are 
implemented.",,,"CM-8, AC-19",Use Intune + device certs; register NPE in Entra ID.,Intune GCCH; device certs; Entra ID Gov.
2.1.2,"NPE/PKI, Device under 
Management",Device,Component,Target Level ZT,22.8,"DoD Components utilize the DoD Enterprise PKI solution/service to 
deploy x509 certificates to all supported and managed devices. Other 
Non-Person Entities (NPEs) (e.g., web servers, network devices, routers, 
applications, etc.) that support x509 certificates are assigned them in 
the PKI and/or IdP systems.",1. Non-person entities are managed via Component PKI and IdP.,"Components use established PKI and IdP solutions to 
manage all NPEs.","Enterprise Device 
Management Pt1","Implement C2C/Compliance 
Based Network Authorization 
Pt1; 
Enterprise PKI Pt1;
 Deny Device by Default Policy",,,
2.1.3,Enterprise IDP Pt1,Device,"Enterprise and 
Component",Target Level ZT,12.8,"The DoD Enterprise Identity Provider (IdP), either using a centralized 
technology or federated organizational technologies, integrates Non-
Person Entities (NPEs), such as devices and service accounts. Integration 
is tracked in the Enterprise Device Management solution when 
applicable as to whether it is integrated or not. NPEs not able to be 
integrated with the IdP are either marked for retirement or excepted 
using a risk-based methodical approach.","1. Component NPEs are integrated with Enterprise IdP.
2. Where applicable, ensure tracking in the UEM solution.","All NPEs are assigned static attributes in an identity 
provider, provided an exception based on risk analysis, 
or marked for retirement, as part of the Enterprise Life 
Cycle Management plan.",,Enterprise IDP Pt2,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
2.1.4,Enterprise IDP Pt2,Device,,Advanced Level ZT,8.8,"The DoD Enterprise Identity Provider (IdP), either using a centralized 
technology or federated organizational technologies, adds additional 
attributes for Non-Person Entities (NPEs) (e.g., location, usage patterns, 
etc.) to device profiles.",1. Conditional device attributes are part of the IdP profile.,,Enterprise IDP Pt1,,"IA-2, IA-5",Require MFA; support CBA/FIDO2; enforce CA baseline.,Require MFA (Gov); CBA; CA baseline.
2.2.1,"Implement C2C/Compliance 
Based Network 
Authorization Pt1",Device,"Enterprise and 
Component",Target Level ZT,9.4,"The DoD Enterprise refines policy, standards, and requirements for 
Comply to Connect (C2C). Components implement and enforce 
compliance-based network authorization to meet ZT Target Level 
functionalities.","1. C2C is enforced at the Component level for all environments.
2. All mandated  device checks are implemented using C2C at the 
Component level.","A policy exists or is developed that dictates the need for 
all devices to be authorized, authenticated, and C2C 
compliant before connecting to the network.","NPE/PKI Device Under 
Management; Integrate 
NextGen AV Tools with C2C; 
Managed and Limited BYOD & 
IOT Support; Implement Asset, 
Vulnerability and Patch 
Management Tools","Implement C2C/Compliance 
Based Network Authorization 
Pt2","RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.2.2,"Implement C2C/Compliance 
Based Network 
Authorization Pt2",Device,,Advanced Level ZT,18.2,"DoD Components expand the deployment and usage of Comply to 
Connect (C2C) to all supported environments required to meet ZT 
advanced functionalities. C2C teams integrate their solution(s) with the 
Enterprise IdP and Authorization Gateways to better manage access and 
authorizations to resources.","1. C2C is enforced in all supported environments.
2. Advanced device checks are completed and integrated with 
dynamic access (Enterprise IdP / Zero Trust Network Access 
(ZTNA)).",,"Implement C2C/Compliance 
Based Network Authorization 
Pt1; Fully Integrate Device 
Security Stack w/C2C as 
appropriate",Real-Time Access Decisions,"RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.3.1,"Entity Activity Monitoring 
Pt1",Device,,Advanced Level ZT,16.4,"Using the developed User and Device baselines, DoD Components utilize 
the implemented User and Entity Behavioral Activity (UEBA) solution to 
integrate baselines. UEBA device attributes and baselines are available 
to be used for device authorization.","1. UEBA attributes are integrated for device baselining.
2. UEBA attributes are available for usage with device access.",,"User/Device Baselines; 
Implement User & Entity 
Behavior Activity (UEBA); User 
Activity Monitoring Tooling",Entity Activity Monitoring Pt2,SI-4,Use Defender sensors and Sentinel analytics for device behavior.,Same in Gov.
2.3.2,"Entity Activity Monitoring 
Pt2",Device,,Advanced Level ZT,16.7,"DoD Components utilize the User and Entity Behavioral Activity (UEBA) 
solution with network access solutions to mandate UEBA attributes 
(e.g., device health, logon patterns, etc.) for accessing environments and 
resources.",1. UEBA attributes are mandated for device access.,,Entity Activity Monitoring Pt1,"Real-Time Access Decisions; 
AIenabled Dynamic Access 
Control; Enrich Attributes for 
Resource Authorization Pt1; AI-
enabled Network Access",SI-4,Use Defender sensors and Sentinel analytics for device behavior.,Same in Gov.
2.3.3,"Implement Application 
Control & File Integrity 
Monitoring (FIM) Tools",Device,Component,Target Level ZT,16.2,"DoD Components procure and implement File Integrity Monitoring 
(FIM) and Application control (e.g., execution deny/allow listing, 
containment, isolation) solutions. FIM ensures any data altered is 
authorized, and unauthorized changes are detected by FIM. Application 
containment is used to isolate any suspicious behavior or permissions to 
prevent any malicious lateral movement, expanding the capabilities and 
response of traditional executable containment. Both FIMS and 
application containment continues the development of the Device, Data, 
and Application & Workload pillars.","1. Application control and FIM tooling is implemented on all service 
applications and endpoint devices with C2C orchestration.
2. EDR tooling covers maximum amount of services applications 
and endpoint devices.","Components deploy FIM and application control tooling 
in alignment with EDR, SOAR, and UEM. C2C 
orchestration and regular control audits and alerts are 
in place.",,,"SI-7, SI-4",Enable WDAC/App Control and FIM on servers; monitor in Sentinel.,Same in Gov.
2.3.4,"Integrate NextGen AV Tools 
with C2C",Device,Component,Target Level ZT,18.5,"DoD Component procures and implements an Endpoint Protection 
Platform (EPP). EPP should have the capabilities to use advanced 
analytics (e.g., artificial intelligence, behavioral detection, machine 
learning) to mitigate exploits (e.g., zero days, signatureless, fileless), 
provide Network Access Control, and protect against known and 
unknown threats. These solutions are orchestrated with the C2C or EDR 
solution for baseline status checks of signatures, updates, etc.","1. Critical Endpoint Protection Platform (EPP) data is being sent to 
C2C and EDR for checks.
2. EPP tooling is implemented on all critical services applications 
and endpoint devices.","Advanced protection on endpoint devices against 
modern threats, while developing Automation & 
Orchestration, as well as Visibility & Analytics pillar, 
through AI, ML and behavior analysis.",,"Implement C2C/Compliance 
Based Network Authorization 
Pt1","RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.3.5,"Fully Integrate Device 
Security stack with C2C as 
appropriate",Device,,Advanced Level ZT,13.3,"DoD Components continue the deployment of Application Control to all 
environments and in prevention mode. File Integrity Monitoring (FIM) 
and Application Controls analytics are integrated into Comply to Connect 
(C2C) for expanded access decision making. C2C analytics are evaluated 
for further device/endpoint security stack data points such as UEDM and 
are integrated as necessary.","1. Application Control and FIM deployment is expanded to all 
necessary services/applications.
2. Remaining data from Device Security tooling is implemented with 
C2C.",,,"Implement C2C/Compliance 
Based Network Authorization 
Pt2; Managed and Full BYOD & 
IOT Support Pt2","RA-5, CM-7",Intune compliance + Conditional Access; Defender posture signals.,Same in Gov.
2.3.6,Enterprise PKI Pt1,Device,,Advanced Level ZT,22.7,"The DoD Enterprise Public Key Infrastructure (PKI) is expanded to 
include the addition of NPE and device certificates. NPEs and devices 
that do not support PKI certificates are marked for retirement.","1. All devices and NPEs have certificates installed for authentication 
provisioned by the Enterprise PKI.
2. Devices that are unable to use certificate-based authentication 
are phased out and/or moved to minimal access environments.",,"Implement UEDM or 
equivalent Tools; NPE/PKI 
Device Under Management",Enterprise PKI Pt2,,,
2.3.7,Enterprise PKI Pt2,Device,,Advanced Level ZT,10.5,"DoD Components utilize certificates provisioned by the DoD Enterprise 
Public Key Infrastructure (PKI) for device authentication and machine to 
machine communications. Unsupported devices are retired and 
exceptions are approved and managed using a risk based methodical 
approach.","1. Devices are required to authenticate with certificate-based 
authentication to communicate with other services and devices.",,Enterprise PKI Pt1,,,,
2.4.1,"Deny Device by Default 
Policy",Device,"Enterprise and 
Component",Target Level ZT,9.6,"DoD Enterprise sets standards and requirements for overall policy, with 
Components tailoring to specific environmentse and mission 
requirements. DoD Components will block access from all unmanaged 
remote and local devices to resources. Managed compliant devices are 
provided risk-based, methodical access following ZT Target Level 
concepts.","1. Enterprise sets standards for Deny Device by Default policy.
2. Components will block unmanaged devices remotely/locally.
3. Access is enabled strictly for compliant devices remotely/locally 
following the ""Deny Device by Default"" policy"" approach.","All device access is authorized, verified, and compliant 
and all other devices are blocked by default.","NPE/PKI Device Under 
Management",,"SC-7, AC-3",Block unmanaged devices; require compliant device via CA.,Same in Gov.
