Control Identifier,Control Name,Azure Covered?,Coverage Type
PE-9,Power Equipment and Cabling,Yes,Fully
PE-11,Emergency Power,Yes,Fully
PE-12,Emergency Lighting,Yes,Fully
PE-13,Fire Protection,Yes,Fully
PE-14,Temperature and Humidity Controls,Yes,Fully
PE-15,Water Damage Protection,Yes,Fully
PE-16,Delivery and Removal,No,
PL-1,Planning Policy and Procedures,No,
PL-2,System Security Plan,No,
PL-4,Rules of Behavior,No,
PL-8,Security and Privacy Plans,No,
PL-10,Baseline Selection,No,
PL-11,Privacy Impact Assessment,No,
PM-1,Information Security Program Plan,No,
PM-2,Information Security Program Roles,No,
PM-3,Information Security Program Strategy,No,
PM-4,Plan of Action and Milestones Process,No,
PM-5,System Inventory,No,
PM-6,Information Security Measures of Performance,No,
PM-7,Enterprise Architecture,No,
PM-8,Critical Infrastructure Plan,No,
PM-9,Risk Management Strategy,No,
PM-10,Security and Privacy Resources,No,
PM-11,Threat Awareness Program,No,
PM-12,Insider Threat Program,No,
PM-14,Testing, Training, and Monitoring,No,
PM-16,Threat Hunting,No,
PS-1,Personnel Security Policy and Procedures,No,
PS-2,Position Risk Designation,Yes,Partially
PS-3,Personnel Screening,No,
PS-3(2),Personnel Screening | Reinvestigation,No,
PS-4,Personnel Termination,Yes,Partially
PS-5,Personnel Transfer,Yes,Partially
PS-6,Access Agreements,No,
PS-7,External Personnel Security,Yes,Partially
PS-8,Personnel Sanctions,No,
RA-1,Risk Assessment Policy and Procedures,No,
RA-2,Risk Assessment,Yes,Partially
RA-2(1),Risk Assessment | Update,Yes,Partially
RA-3,Risk Assessment – Updates,No,
RA-5,Vulnerability Monitoring and Scanning,Yes,Partially
RA-5(1),Vulnerability Scanning | Unauthenticated Scans,Yes,Partially
RA-5(2),Vulnerability Scanning | Authenticated Scans,Yes,Partially
RA-5(3),Vulnerability Scanning | Analysis and Reporting,Yes,Partially
RA-5(4),Vulnerability Scanning | Continuous Monitoring,Yes,Partially
RA-6,Technical Surveillance Countermeasures,No,
SA-1,System and Services Acquisition Policy and Procedures,No,
SA-2,Allocation of Resources,No,
SA-3,System Development Life Cycle,Yes,Partially
SA-4,Acquisition Process,No,
SA-4(1),Acquisition Process | Functional Properties of Controls,No,
SA-4(2),Acquisition Process | External Information System Services,No,
SA-4(3),Acquisition Process | Security Considerations for External Providers,Yes,Partially
SA-5,System Documentation,No,
SA-5(1),System Documentation | Functional Properties of Controls,No,
SA-6,Software Usage Restrictions,No,
SA-7,User-Installed Software,Yes,Partially
SC-1,System and Communications Protection Policy and Procedures,No,
SC-2,Application Partitioning,Yes,Partially
SC-3,Security Function Isolation,Yes,Partially
SC-4,Information in Shared Resources,Yes,Partially
SC-5,Denial-of-Service Protection,Yes,Fully
SC-7,Boundary Protection,Yes,Partially
SC-7(1),Boundary Protection | Least Privilege,Yes,Partially
SC-7(3),Boundary Protection | Access Points,Yes,Partially
SC-8,Transmission Confidentiality and Integrity,Yes,Fully
SC-8(1),Transmission Confidentiality and Integrity | Cryptographic Protection,Yes,Fully
SC-10,Network Disconnect,Yes,Partially
SC-12,Cryptographic Key Establishment and Management,Yes,Partially
SC-13,Cryptographic Protection,Yes,Fully
SC-13(1),Cryptographic Protection | FIPS-validated Cryptography,Yes,Fully
SC-15,Collaborative Computing Devices,No,
SC-17,Public Key Infrastructure Certificates,Yes,Partially
SC-18,Mobile Code,No,
SC-19,Voice Over Internet Protocol,No,
SC-20,Secure Name / Address Resolution Service (Authoritative Source),Yes,Partially
SC-21,Secure Name / Address Resolution Service (Recursive or Caching Resolver),Yes,Partially
SC-22,Architecture and Provisioning for Name/Address Resolution Service,Yes,Partially
SC-23,Session Authenticity,Yes,Partially
SC-28,Protection of Information at Rest,Yes,Fully
SC-28(1),Protection of Information at Rest | Cryptographic Protection,Yes,Fully
SC-39,Supervision and Review—Industrial Control Systems,No,
SI-1,System and Information Integrity Policy and Procedures,No,
SI-2,Flaw Remediation,Yes,Partially
SI-3,Malicious Code Protection,Yes,Partially
SI-4,System Monitoring,Yes,Partially
SI-4(14),System Monitoring | Integrated SIEM,Yes,Partially
SI-5,Security Alerts, Advisories, and Directives,Yes,Partially
SI-7,Software, Firmware and Information Integrity,Yes,Partially
SI-7(8),Software, Firmware and Information Integrity | Auditing Detection Mechanisms,Yes,Partially
SI-8,Spam Protection,No,
SI-10,Information Input Validation,No,
SI-12,Information Handling and Retention,No,
SI-16,Memory Protection,Yes,Partially
